,t,c,o,h,l
2415,2019-09-25,114380,114210,114450,114100
2416,2019-09-26,113500,113500,113500,113500
2417,2019-09-27,114660,114410,114900,114320
2418,2019-09-28,114640,114630,114700,114550
2419,2019-09-29,115810,115110,115900,115050
2420,2019-09-30,115010,115890,115900,114900
2421,2019-10-01,115230,115020,115250,114500
2422,2019-10-02,115490,115220,115550,115100
2423,2019-10-03,114430,114430,114430,114430
2424,2019-10-04,115050,115510,115550,114900
2425,2019-10-05,114500,115010,115050,114500
2426,2019-10-06,114730,114460,114750,114400
2427,2019-10-07,114920,114680,115050,114600
2428,2019-10-08,114980,115020,115050,114700
2429,2019-10-09,114830,115030,115050,114800
2430,2019-10-10,114020,114020,114020,114020
2431,2019-10-11,114860,114910,115150,114800
2432,2019-10-12,114030,114910,114950,114000
2433,2019-10-13,113960,114080,114150,113600
2434,2019-10-14,114110,113920,114350,113900
2435,2019-10-15,114220,114150,114550,114000
2436,2019-10-16,114230,114340,114550,114200
2437,2019-10-17,114020,114020,114020,114020
2438,2019-10-19,113740,114290,114350,113660
2439,2019-10-20,113400,113730,113750,113100
2440,2019-10-21,113430,113100,113650,113100
2441,2019-10-22,112320,113350,113450,112200
2442,2019-10-23,111910,112340,112350,111000
2443,2019-10-24,112050,112050,112050,112050
2444,2019-10-25,112160,111950,112250,111500
2445,2019-10-26,111380,111380,111380,111380
2446,2019-10-27,112610,112220,112650,112100
2447,2019-10-28,111410,111410,111410,111410
2448,2019-10-29,111960,112630,112650,111300
2449,2019-10-30,112550,112030,112850,111900
2450,2019-10-31,111520,111520,111520,111520
2451,2019-11-01,113020,112670,113250,112600
2452,2019-11-02,113710,112900,114250,112900
2453,2019-11-03,113650,113750,113850,113300
2454,2019-11-04,114150,113530,114150,113500
2455,2019-11-05,112900,112975,113050,112890
2456,2019-11-06,114240,114130,114450,114060
2457,2019-11-07,113380,113380,113380,113380
2458,2019-11-08,114150,114110,114250,113500
2459,2019-11-09,114330,114120,114450,113900
2460,2019-11-10,114960,114310,115000,114300
2461,2019-11-11,115240,114970,115250,114750
2462,2019-11-12,117700,115150,117850,115100
2463,2019-11-13,117870,117820,118550,117700
2464,2019-11-14,114970,114970,114970,114970
2465,2019-11-15,122530,118030,122650,117900
2466,2019-11-16,122500,122630,122650,122500
2467,2019-11-17,122650,122520,122650,122500
2468,2019-11-18,122520,122580,122650,122500
2469,2019-11-19,119130,122610,122880,119050
2470,2019-11-20,118980,119060,119380,118950
2471,2019-11-21,117940,117940,117940,117940
2472,2019-11-22,119110,118950,119280,118950
2473,2019-11-23,122740,118970,123080,118950
2474,2019-11-24,124150,122620,124880,122450
2475,2019-11-25,122970,123680,123980,122450
2476,2019-11-26,125820,123190,125850,122750
2477,2019-11-27,125990,125770,126950,125750
2478,2019-11-28,124020,124020,124020,124020
2479,2019-11-29,126070,126040,127850,125950
2480,2019-11-30,128120,126130,128150,124950
2481,2019-12-01,126550,127850,128650,126450
2482,2019-12-02,127650,126520,127750,126450
2483,2019-12-03,129040,127730,129750,127650
2484,2019-12-04,130490,128970,130850,128950
2485,2019-12-05,127010,127010,127010,127010
2486,2019-12-06,132550,131540,132850,130550
2487,2019-12-07,134450,132460,135050,122700
2488,2019-12-08,138030,134540,138050,134450
2489,2019-12-09,135840,139480,141550,135750
2490,2019-12-10,131050,135960,136050,129950
2491,2019-12-11,127510,130980,131050,127450
2492,2019-12-12,129010,129010,129010,129010
2493,2019-12-13,126920,128030,131850,126750
2494,2019-12-14,125840,126880,126950,125450
2495,2019-12-15,127520,127620,128050,126650
2496,2019-12-16,130670,127510,130950,127450
2497,2019-12-17,129150,131440,132150,128690
2498,2019-12-18,129990,129090,130250,129090
2499,2019-12-19,128590,128590,128590,128590
2500,2019-12-20,132620,131790,133050,131090
2501,2019-12-21,131690,133520,134450,130590
2502,2019-12-22,131490,131510,132050,129490
2503,2019-12-23,131090,132260,133050,130790
2504,2019-12-24,131910,131240,132250,130790
2505,2019-12-25,131820,131990,132450,131790
2506,2019-12-26,129760,129760,129760,129760
2507,2019-12-27,131790,131790,132450,131490
2508,2019-12-28,131580,131850,132050,131580
2509,2019-12-29,131620,131590,131720,131380
2510,2019-12-30,133190,132390,133320,132180
2511,2019-12-31,132990,133220,133420,132490
2512,2020-01-01,132990,132890,133100,132590
2513,2020-01-02,129500,129500,129500,129500
2514,2020-01-03,136790,137490,137900,135190
2515,2020-01-04,139220,137040,139600,136690
2516,2020-01-05,138090,139990,140100,138090
2517,2020-01-06,139660,138200,140200,138090
2518,2020-01-07,139350,139590,141800,139290
2519,2020-01-08,133900,139060,139100,133090
2520,2020-01-09,132090,132090,132090,132090
2521,2020-01-10,133130,134140,135100,131400
2522,2020-01-11,134290,133100,134400,133100
2523,2020-01-12,134150,133990,134700,133490
2524,2020-01-13,135500,132990,135500,132690
2525,2020-01-14,134960,135310,136360,134890
2526,2020-01-15,135160,135020,135500,134790
2527,2020-01-16,131000,131000,131000,131000
2528,2020-01-17,134490,135190,135400,134390
2529,2020-01-18,134490,134500,136400,133790
2530,2020-01-19,134990,134540,135100,134490
2531,2020-01-20,134390,134800,134900,134290
2532,2020-01-21,134850,134090,136000,134090
2533,2020-01-22,135290,135340,136400,135190
2534,2020-01-23,130000,130000,130000,130000
2535,2020-01-24,135490,135640,135800,135090
2536,2020-01-25,135790,135250,135900,135190
2537,2020-01-26,136190,136420,137800,136190
2538,2020-01-27,137190,136790,138900,136690
2539,2020-01-28,134020,134020,134020,134020
2540,2020-01-29,137290,137380,137500,137190
2541,2020-01-30,134540,134540,134540,134540
2542,2020-01-31,135340,137320,137400,135290
2543,2020-02-01,135500,135230,136200,134590
2544,2020-02-02,136040,135190,136400,135190
2545,2020-02-03,135690,136390,136600,135590
2546,2020-02-04,136690,135990,136800,135640
2547,2020-02-05,136730,136640,136890,136390
2548,2020-02-06,135060,135060,135060,135060
2549,2020-02-07,137690,136660,137800,136590
2550,2020-02-08,138890,138190,139300,138190
2551,2020-02-09,139590,139090,139900,139090
2552,2020-02-10,136040,136040,136040,136040
2553,2020-02-11,140020,139090,140100,139090
2554,2020-02-12,140430,140390,140500,140390
2555,2020-02-13,138490,138490,138490,138490
2556,2020-02-14,140690,138830,141000,138790
2557,2020-02-15,141860,141590,142200,140490
2558,2020-02-16,141620,141690,141900,140990
2559,2020-02-17,144030,141590,144400,141590
2560,2020-02-18,143490,144190,145000,142690
2561,2020-02-19,143930,143690,144600,143690
2562,2020-02-20,142030,142030,142030,142030
2563,2020-02-21,152320,145620,158090,145590
2564,2020-02-22,152550,156350,156400,151790
2565,2020-02-23,156090,154390,156100,154090
2566,2020-02-24,156290,157490,157900,155090
2567,2020-02-25,156390,156320,156400,156290
2568,2020-02-26,157090,156320,157600,156190
2569,2020-02-27,157010,157010,157010,157010
2570,2020-02-28,150890,151760,169900,146890
2571,2020-02-29,155060,150170,155100,150090
2572,2020-03-01,156990,156790,157500,155790
2573,2020-03-02,153130,153090,154600,152490
2574,2020-03-03,154360,155090,155200,153590
2575,2020-03-04,152710,152090,153000,149390
2576,2020-03-05,149950,149950,149950,149950
2577,2020-03-06,153470,153400,153900,152890
2578,2020-03-07,149960,149960,149960,149960
2579,2020-03-08,155060,154580,155400,154190
2580,2020-03-09,153890,154290,154600,153190
2581,2020-03-10,153990,154000,154300,153590
2582,2020-03-11,153900,154080,154100,152890
2583,2020-03-12,148510,148510,148510,148510
2584,2020-03-13,154490,153590,155100,153490
2585,2020-03-14,156570,154510,156900,154490
2586,2020-03-15,158370,156490,159600,156490
2587,2020-03-16,160690,160790,161200,159790
2588,2020-03-17,159920,160890,161000,159890
2589,2020-03-18,149030,149030,149030,149030
2590,2020-04-01,148960,148980,149050,148950
2591,2020-04-02,148960,148960,148960,148960
2592,2020-04-03,164490,165090,165100,162790
2593,2020-04-04,164190,164590,164700,164150
2594,2020-04-05,162950,164030,164050,162950
2595,2020-04-06,161390,163180,163450,161250
2596,2020-04-07,159650,161990,162050,159450
2597,2020-04-08,161060,159590,161150,159550
2598,2020-04-10,161450,160130,161950,159850
2599,2020-04-11,162240,162420,162650,162050
2600,2020-04-12,161090,161980,162250,160780
2601,2020-04-13,160280,161110,161120,159880
2602,2020-04-14,159610,159420,159920,159180
2603,2020-04-15,159690,159680,159720,159680
2604,2020-04-16,155000,155000,155000,155000
2605,2020-04-17,155910,159720,159720,155480
2606,2020-04-18,154390,154390,154420,154380
2607,2020-04-19,154420,154410,154420,154380
2608,2020-04-20,160890,154380,160920,154380
2609,2020-04-21,163080,162710,163120,161980
2610,2020-04-22,162690,163810,163920,162680
2611,2020-04-23,155030,155030,155030,155030
2612,2020-04-24,161390,161820,161820,159780
2613,2020-04-25,161520,161480,161520,161480
2614,2020-04-26,161510,161510,161520,161480
2615,2020-04-27,160790,161490,161520,159980
2616,2020-04-28,162410,161590,162720,161480
2617,2020-04-29,161420,161780,162120,161380
2618,2020-04-30,156000,156000,156000,156000
2619,2020-05-01,160490,161380,161420,159880
2620,2020-05-02,160790,160480,160820,159880
2621,2020-05-03,161390,160720,161920,160680
2622,2020-05-04,161420,161420,161420,161380
2623,2020-05-05,161380,161410,161420,161380
2624,2020-05-06,162890,161410,162920,161380
2625,2020-05-07,157000,157000,157000,157000
2626,2020-05-08,164310,164280,164320,164280
2627,2020-05-09,164920,164380,165020,164380
2628,2020-05-10,168420,164880,168420,164880
2629,2020-05-11,170210,169210,171820,169180
2630,2020-05-12,171080,171820,172320,170080
2631,2020-05-13,168610,169480,170020,168580
2632,2020-05-14,168540,168540,168540,168540
2633,2020-05-15,169080,169090,169120,169080
2634,2020-05-16,169110,169090,169120,169080
2635,2020-05-17,175780,169080,180210,169080
2636,2020-05-18,176910,174520,177520,174080
2637,2020-05-19,178910,177720,179120,177380
2638,2020-05-20,177010,178420,178420,176180
2639,2020-05-21,173050,173050,173050,173050
2640,2020-05-22,177310,177580,177820,176980
2641,2020-05-23,175480,177290,177320,175480
2642,2020-05-24,176490,175490,176520,175480
2643,2020-05-25,175320,177320,177420,175280
2644,2020-05-26,173780,175010,175020,173080
2645,2020-05-27,175710,174610,175720,174280
2646,2020-05-28,170610,170610,170610,170610
2647,2020-05-29,176190,175490,177320,175480
2648,2020-05-30,176010,176520,176620,175580
2649,2020-05-31,177020,176020,177220,175980
2650,2020-06-01,177120,176610,177120,176380
2651,2020-06-02,177880,177080,178220,177080
2652,2020-06-03,177810,177780,178020,177780
2653,2020-06-05,176810,176680,177010,176070
2654,2020-06-06,176810,177210,177510,176570
2655,2020-06-07,176110,176710,176710,175670
2656,2020-06-08,177910,176080,178310,176070
2657,2020-06-09,179880,177880,180210,177870
2658,2020-06-10,179800,180100,189910,179670
2659,2020-06-11,177500,177500,177500,177500
2660,2020-06-12,179470,179480,179810,179270
2661,2020-06-13,179480,179510,179510,179470
2662,2020-06-14,182910,179510,183210,179470
2663,2020-06-15,185710,183580,185910,182870
2664,2020-06-16,185670,185680,185710,185670
2665,2020-06-17,188180,186780,188210,186670
2666,2020-06-18,183500,183500,183500,183500
2667,2020-06-19,192410,188200,192610,188170
2668,2020-06-20,194800,192700,198010,192470
2669,2020-06-21,197800,195570,200010,195270
2670,2020-06-22,201000,202570,205410,196970
2671,2020-06-23,194580,201380,203510,193570
2672,2020-06-24,191480,192180,192810,189570
2673,2020-06-25,188430,188430,188430,188430
2674,2020-06-26,200270,194670,200310,193570
2675,2020-06-27,202170,205200,206510,199470
2676,2020-06-28,202200,203470,203510,200170
2677,2020-06-29,205300,203480,206010,202870
2678,2020-06-30,205770,202570,205910,200570
2679,2020-07-01,207800,205780,208010,205770
2680,2020-07-03,212010,207000,212010,206470
2681,2020-07-04,223010,211970,223510,211970
2682,2020-07-05,217810,221480,221710,213970
2683,2020-07-06,220980,218000,221310,216770
2684,2020-07-07,224700,224810,225710,223370
2685,2020-07-08,224700,224680,224710,224670
2686,2020-07-10,226170,223970,227010,223270
2687,2020-07-11,227010,227380,228510,226370
2688,2020-07-12,234280,230010,234410,229670
2689,2020-07-13,236300,233910,238010,229970
2690,2020-07-14,238970,236310,239610,236270
2691,2020-07-15,241370,238780,241810,238770
2692,2020-07-16,231020,231020,231020,231020
2693,2020-07-17,254480,246980,254510,246670
2694,2020-07-18,245480,259570,260010,243770
2695,2020-07-19,229000,247810,247810,223970
2696,2020-07-20,219010,213200,219010,209970
2697,2020-07-21,218000,219000,223510,216970
2698,2020-07-22,218380,220580,221010,216970
2699,2020-07-23,202910,202910,202910,202910
2700,2020-07-24,229300,219000,229910,218870
2701,2020-07-25,230970,237470,242010,225970
2702,2020-07-26,233500,232980,235010,229970
2703,2020-07-27,234500,233480,236210,231970
2704,2020-07-28,234310,234470,235910,232770
2705,2020-07-29,235470,234270,235510,234270
2706,2020-07-30,208020,208020,208020,208020
2707,2020-07-31,233770,234670,236010,233270
2708,2020-08-01,232200,229980,232710,225270
2709,2020-08-02,232710,232210,233610,231870
2710,2020-08-03,232810,232100,233410,232070
2711,2020-08-04,234910,232780,235410,232770
2712,2020-08-05,236600,234900,237210,234870
2713,2020-08-06,230020,230020,230020,230020
2714,2020-08-08,214910,227470,229510,213470
2715,2020-08-09,220510,209470,222010,209470
2716,2020-08-10,222170,224510,227710,218470
2717,2020-08-11,222470,220980,223510,210470
2718,2020-08-12,224470,222480,226210,222470
2719,2020-08-13,220500,220500,220500,220500
2720,2020-08-14,220270,224500,224810,219470
2721,2020-08-15,224510,221780,224710,219970
2722,2020-08-16,231970,227010,233510,226970
2723,2020-08-17,227370,231180,231810,226470
2724,2020-08-18,227000,229700,230210,226370
2725,2020-08-19,230980,230570,232010,229970
2726,2020-08-20,225020,225020,225020,225020
2727,2020-08-21,231000,231000,231010,227270
2728,2020-08-22,229370,230570,231310,229270
2729,2020-08-23,231180,229500,231510,220170
2730,2020-08-24,234610,231300,234710,230670
2731,2020-08-25,235300,235000,237010,232070
2732,2020-08-26,234200,234680,234910,233670
2733,2020-08-27,231020,231020,231020,231020
2734,2020-08-29,234210,234180,234210,234170
2735,2020-08-30,238270,234170,238910,234170
2736,2020-08-31,243600,242180,244010,229470
2737,2020-09-01,244270,245370,246210,243870
2738,2020-09-02,243100,242970,243210,241570
2739,2020-09-03,224520,224520,224520,224520
2740,2020-09-04,246170,244700,247110,243970
2741,2020-09-05,246680,248410,248910,246170
2742,2020-09-06,246680,246710,246710,245300
2743,2020-09-07,251210,246670,256020,246670
2744,2020-09-08,254690,251220,254720,251180
2745,2020-09-09,253710,254720,254720,246680
2746,2020-09-10,228000,228000,228000,228000
2747,2020-09-11,263010,266480,266820,250490
2748,2020-09-12,268420,264410,268820,257000
2749,2020-09-13,264520,267990,272020,260480
2750,2020-09-14,268920,262510,270020,261480
2751,2020-09-15,269020,272160,273550,267440
2752,2020-09-16,268850,269250,269650,267440
2753,2020-09-17,267970,267970,267970,267970
2754,2020-09-18,267540,266390,267740,263000
2755,2020-09-19,272480,268960,273940,268930
2756,2020-09-20,271860,273960,274640,271530
2757,2020-09-21,274970,271770,275940,271440
2758,2020-09-22,280930,277660,281340,277230
2759,2020-09-23,287440,282450,288440,282430
2760,2020-09-24,277970,277970,277970,277970
2761,2020-09-25,288050,291540,293140,285930
2762,2020-09-26,291240,289410,291540,288930
2763,2020-09-27,295300,291260,295540,291230
2764,2020-09-28,294240,293600,295040,289430
2765,2020-09-29,297730,294060,298040,293530
2766,2020-09-30,299730,298610,300040,297730
2767,2020-10-01,289040,289040,289040,289040
2768,2020-10-02,292520,297370,298040,291930
2769,2020-10-03,285030,290020,290040,277930
2770,2020-10-04,294210,292550,294840,291930
2771,2020-10-05,295960,294140,297640,294130
2772,2020-10-06,296740,295950,298640,294230
2773,2020-10-07,292020,292040,292060,291960
2774,2020-10-09,309210,302340,309540,302230
2775,2020-10-10,308810,310710,317740,306930
2776,2020-10-11,314460,308300,315040,307730
2777,2020-10-12,318020,314440,318540,314430
2778,2020-10-13,317330,317740,318040,315230
2779,2020-10-14,321330,317980,321840,317930
2780,2020-10-17,315620,322580,322640,313130
2781,2020-10-18,303540,319220,319240,302930
2782,2020-10-19,266980,294040,294540,266930
2783,2020-10-20,294020,280960,294540,271930
2784,2020-10-21,296440,297940,298540,292930
2785,2020-10-22,293750,293750,293750,293750
2786,2020-10-23,290470,292020,294040,288930
2787,2020-10-24,290000,290000,290000,290000
2788,2020-10-25,281000,281960,284040,279430
2789,2020-10-26,286980,285460,288740,285430
2790,2020-10-27,285440,285540,285550,277940
2791,2020-10-28,280960,280990,285550,280940
2792,2020-10-29,277500,277500,277500,277500
2793,2020-10-30,269550,281030,285550,269440
2794,2020-10-31,276960,269480,285550,265000
2795,2020-11-01,289940,277020,290050,276940
2796,2020-11-02,282420,282420,282420,282420
2797,2020-11-03,290950,285980,305050,285940
2798,2020-11-04,269990,290940,291050,265940
2799,2020-11-06,252960,249990,258550,244940
2800,2020-11-07,251960,248040,255050,239940
2801,2020-11-08,267260,252050,277550,251940
2802,2020-11-09,275990,280510,280550,272950
2803,2020-11-10,272970,274510,276550,269940
2804,2020-11-11,273010,270050,274000,269940
2805,2020-11-12,268520,268520,268520,268520
2806,2020-11-13,269960,269960,285550,247940
2807,2020-11-14,285550,269980,285550,252940
2808,2020-11-15,260050,285510,285550,259940
2809,2020-11-16,262770,260010,287550,258940
2810,2020-11-17,260480,262460,262550,258940
2811,2020-11-18,259510,258550,260050,258440
2812,2020-11-19,256200,256200,256200,256200
2813,2020-11-20,259040,259530,266550,253440
2814,2020-11-21,258050,258840,259050,254140
2815,2020-11-22,259020,258250,259550,256240
2816,2020-11-23,253030,256820,256850,249940
2817,2020-11-24,249470,252950,253050,249440
2818,2020-11-25,246960,247780,247850,245940
2819,2020-11-26,247570,247570,247570,247570
2820,2020-11-27,246980,246540,252050,246240
2821,2020-11-28,251490,247980,252050,245740
2822,2020-11-29,254540,251270,255050,251240
2823,2020-11-30,262480,255520,265050,255440
2824,2020-12-01,258460,262230,262250,254440
2825,2020-12-02,260960,257640,261540,257640
2826,2020-12-04,257230,260530,263050,256440
2827,2020-12-05,258640,257180,259050,256440
2828,2020-12-06,258210,258530,259050,257340
2829,2020-12-07,259260,258440,259550,257940
2830,2020-12-08,262680,259250,264430,259240
2831,2020-12-09,261150,262520,262550,260940
2832,2020-12-10,260650,260650,260650,260650
2833,2020-12-11,259240,260480,263050,258740
2834,2020-12-12,258760,259310,259750,257940
2835,2020-12-13,258540,259270,259350,257440
2836,2020-12-14,259960,256460,262050,256440
2837,2020-12-15,257760,259750,261850,257740
2838,2020-12-16,260210,257790,260250,257740
2839,2020-12-17,258020,258020,258020,258020
2840,2020-12-18,256710,259470,259550,255240
2841,2020-12-19,255440,254050,255700,253940
2842,2020-12-20,256040,255450,257750,254440
2843,2020-12-21,256820,256330,256950,255740
2844,2020-12-22,259280,256790,260050,256740
2845,2020-12-23,259120,259510,259750,259040
2846,2020-12-24,258620,258620,258620,258620
2847,2020-12-25,256190,258770,258850,256140
2848,2020-12-26,257740,256180,258550,256140
2849,2020-12-27,257440,257710,258750,256840
2850,2020-12-28,257150,257550,257850,256740
2851,2020-12-29,257350,257110,257750,257040
2852,2020-12-30,257240,257320,257350,256940
2853,2021-01-01,255530,257080,257150,255140
2854,2021-01-02,257140,255840,257550,255440
2855,2021-01-03,258980,257790,259050,257240
2856,2021-01-04,260980,259030,261050,258440
2857,2021-01-05,258530,260620,260650,257540
2858,2021-01-06,254850,256550,256550,254240
2859,2021-01-07,255510,255510,255510,255510
2860,2021-01-08,246970,254770,254850,246940
2861,2021-01-09,248770,247070,250550,246240
2862,2021-01-10,248740,249460,251550,248140
2863,2021-01-11,249180,248780,250050,248440
2864,2021-01-12,244430,248650,248750,244140
2865,2021-01-13,238540,243450,243450,237840
2866,2021-01-14,239530,239530,239530,239530
2867,2021-01-15,228650,239030,239050,228140
2868,2021-01-16,229470,229510,229550,229440
2869,2021-01-17,212830,225170,225250,210940
2870,2021-01-18,219830,213040,223850,210740
2871,2021-01-19,226450,219760,233550,219740
2872,2021-01-20,227870,235510,238050,220440
2873,2021-01-21,226550,226550,226550,226550
2874,2021-01-22,231440,228770,233050,223240
2875,2021-01-23,234620,232850,238350,231140
2876,2021-01-24,233540,235150,236550,233040
2877,2021-01-25,234310,231830,234350,228440
2878,2021-01-26,238030,236540,242750,236440
2879,2021-01-27,239650,237550,240050,236240
2880,2021-01-28,232110,232110,232110,232110
2881,2021-01-29,243740,241520,247850,240740
2882,2021-01-30,244440,245610,247050,243740
2883,2021-01-31,240850,245040,245050,240440
2884,2021-02-01,243480,241980,244550,241940
2885,2021-02-02,239490,244830,244850,238740
2886,2021-02-03,239070,240250,240250,238340
2887,2021-02-04,237470,237470,237470,237470
2888,2021-02-05,242610,239470,243550,239440
2889,2021-02-06,243850,243030,243850,242040
2890,2021-02-07,249780,247410,249850,246540
2891,2021-02-08,251480,249970,252050,249140
2892,2021-02-09,241030,241030,241030,241030
2893,2021-02-10,257440,253860,258550,253440
2894,2021-02-11,246960,246960,246960,246960
2895,2021-02-12,261840,257940,263050,250440
2896,2021-02-13,257450,261740,262550,257440
2897,2021-02-14,254980,257730,258050,253440
2898,2021-02-15,261450,254950,262050,254940
2899,2021-02-16,258030,259830,261050,257940
2900,2021-02-17,259450,257940,260550,257940
2901,2021-02-18,251710,251710,251710,251710
2902,2021-02-19,252510,258330,258350,251140
2903,2021-02-20,247040,251520,251750,247040
2904,2021-02-21,245040,247520,249050,244840
2905,2021-02-22,251390,247550,252050,247140
2906,2021-02-23,254010,251540,254550,251140
2907,2021-02-24,248210,248210,248210,248210
2908,2021-02-26,255340,252950,259750,252940
2909,2021-02-27,253450,254740,254850,251640
2910,2021-02-28,254250,254490,255150,253340
2911,2021-03-01,252670,253510,253550,251340
2912,2021-03-02,253090,252610,253750,252440
2913,2021-03-03,249760,252440,252550,249640
2914,2021-03-04,246610,246610,246610,246610
2915,2021-03-05,246640,249440,250850,246440
2916,2021-03-06,247760,247420,248350,245840
2917,2021-03-07,247060,248840,249850,246740
2918,2021-03-08,246480,247440,247550,245140
2919,2021-03-09,245830,247450,247850,245640
2920,2021-03-10,242420,242420,242420,242420
2921,2021-03-12,247770,247120,249550,247040
2922,2021-03-13,246540,247520,247550,246440
2923,2021-03-14,247240,246740,247350,245140
2924,2021-03-15,248510,246740,249550,246740
2925,2021-03-16,248990,248040,249550,247940
2926,2021-03-17,251340,249960,251550,249940
2927,2021-03-18,239630,239630,239630,239630
2928,2021-03-19,251390,251440,251450,251340
2929,2021-03-21,251380,251440,251450,251340
2930,2021-03-22,251360,251350,251450,251340
2931,2021-03-23,251430,251340,251450,251340
2932,2021-03-24,251450,251380,251450,251340
2933,2021-03-26,252850,251420,252850,251340
2934,2021-03-27,256240,253280,256850,253240
2935,2021-03-28,252330,252330,252330,252330
2936,2021-03-29,258480,257050,259550,256940
2937,2021-03-30,257960,257910,258050,256140
2938,2021-03-31,257520,257490,257550,257440
2939,2021-04-01,252100,252100,252100,252100
2940,2021-04-02,247280,257510,257550,245240
2941,2021-04-03,249460,246150,250050,246140
2942,2021-04-04,249240,249010,251050,247540
2943,2021-04-05,252450,248660,253550,248640
2944,2021-04-06,250610,252480,252550,250540
2945,2021-04-07,247990,250020,250050,247440
2946,2021-04-08,244660,244660,244660,244660
2947,2021-04-09,247870,249550,250550,247440
2948,2021-04-10,247490,247830,248850,247440
2949,2021-04-11,249950,248550,250850,248440
2950,2021-04-12,250320,249250,250350,248140
2951,2021-04-13,248970,249730,249850,248440
2952,2021-04-14,250150,248780,250850,248740
2953,2021-04-15,239870,239870,239870,239870
2954,2021-04-16,246750,249310,249550,246640
2955,2021-04-17,246180,246210,246550,244740
2956,2021-04-18,240540,245990,246350,239740
2957,2021-04-19,241810,238220,242040,236540
2958,2021-04-20,241840,241970,242150,240840
2959,2021-04-21,238640,239280,239350,237640
2960,2021-04-22,233300,233300,233300,233300
2961,2021-04-23,238450,237170,239350,237140
2962,2021-04-24,237320,239120,239950,236940
2963,2021-04-25,236920,237030,238050,236040
2964,2021-04-26,236670,238250,238850,236440
2965,2021-04-27,237210,237550,237650,236540
2966,2021-04-28,235220,237170,237230,234940
2967,2021-04-29,232310,232310,232310,232310
2968,2021-04-30,232390,233170,234850,230640
2969,2021-05-01,221710,227490,228550,218140
2970,2021-05-02,220360,221830,223050,218540
2971,2021-05-03,220210,220210,220250,220140
2972,2021-05-04,207520,220160,220250,206840
2973,2021-05-05,216990,210470,220050,210140
2974,2021-05-06,206480,206480,206480,206480
2975,2021-05-07,214310,215860,217850,213240
2976,2021-05-08,216460,213460,217050,213440
2977,2021-05-09,221520,217180,221550,217140
2978,2021-05-11,221850,216080,223410,216080
2979,2021-05-11,224340,221920,226050,221840
2980,2021-05-12,225850,224160,226850,223640
2981,2021-05-12,219750,221860,221950,219750
2982,2021-05-13,225440,225530,225530,225440
2983,2021-05-13,216130,219790,219860,216130
2984,2021-05-13,216130,216130,216130,216130
2985,2021-05-15,220500,220760,221880,220410
2986,2021-05-15,228940,226490,229150,226260
2987,2021-05-15,231730,229460,233550,229440
2988,2021-05-16,228860,231490,231850,228340
2989,2021-05-17,231150,228940,232550,228440
2990,2021-05-18,228240,228690,229550,225940
2991,2021-05-19,230020,232140,232150,219980
2992,2021-05-20,223000,223000,223000,223000
2993,2021-05-21,229170,229640,230150,228640
2994,2021-05-22,230650,229040,231050,228940
2995,2021-05-23,232790,230990,240050,230940
2996,2021-05-24,231240,231690,239550,230140
2997,2021-05-25,232150,231980,234050,231940
2998,2021-05-26,232390,232170,232750,231940
2999,2021-05-27,226470,226470,226470,226470
3000,2021-05-29,234660,226560,234660,226460
3001,2021-05-29,234660,226560,234660,226460
3002,2021-05-29,234660,226560,234660,226460
3003,2021-05-29,239830,232470,241350,232440
3004,2021-05-29,239830,232470,241350,232440
3005,2021-05-29,239830,232470,241350,232440
3006,2021-05-30,238570,234640,238660,234550
3007,2021-05-30,241330,245760,248350,240440
3008,2021-05-31,234060,238590,238660,232950
3009,2021-05-31,242940,241490,243050,237240
3010,2021-06-01,234160,234000,238660,233970
3011,2021-06-01,241270,241450,242050,229940
3012,2021-06-01,239060,238170,240550,230240
3013,2021-06-02,237430,238960,239050,236640
3014,2021-06-03,234330,234330,234330,234330
3015,2021-06-06,239380,237190,241550,237140
3016,2021-06-07,239410,239350,240250,239140
3017,2021-06-08,241410,241220,242250,240440
3018,2021-06-09,239170,240020,240450,239140
3019,2021-06-10,239230,239230,239230,239230
3020,2021-06-11,237640,236820,238350,236140
3021,2021-06-12,240990,239050,241250,238940
3022,2021-06-13,239740,241010,241050,238550
3023,2021-06-14,240450,240030,241250,239950
3024,2021-06-15,241810,240520,242250,239450
3025,2021-06-16,244320,242040,244640,241950
3026,2021-06-17,244290,244290,244290,244290
3027,2021-06-18,234890,244490,244640,234690
3028,2021-06-19,239490,234690,240440,234690
3029,2021-06-20,241070,239790,241440,239190
3030,2021-06-21,242590,241260,243140,241190
3031,2021-06-22,241790,243230,243340,240790
3032,2021-06-23,241890,241690,242430,241190
3033,2021-06-24,241890,241890,241890,241890
3034,2021-06-25,244390,244500,245940,242290
3035,2021-06-26,246740,243490,246940,243490
3036,2021-06-27,247080,246290,248640,246290
3037,2021-06-28,249660,248890,252040,248890
3038,2021-06-29,253990,250020,254140,249990
3039,2021-06-30,251530,253370,253440,250690
3040,2021-07-01,251510,251510,251510,251510
3041,2021-07-02,252390,251640,253840,251390
3042,2021-07-03,251500,254600,254640,251090
3043,2021-07-04,249590,251310,251340,249490
3044,2021-07-05,250990,250990,251640,250590
3045,2021-07-06,250870,250620,251340,250010
3046,2021-07-07,250210,251050,251140,249490
3047,2021-07-09,249620,250310,250340,248190
3048,2021-07-10,249990,249190,250140,248790
3049,2021-07-11,249800,250120,250140,249290
