t,c,o,h,l
2020-05-18,176910,174520,177520,174080
2020-05-19,178910,177720,179120,177380
2020-05-20,177010,178420,178420,176180
2020-05-21,173050,173050,173050,173050
2020-05-22,177310,177580,177820,176980
2020-05-23,175480,177290,177320,175480
2020-05-24,176490,175490,176520,175480
2020-05-25,175320,177320,177420,175280
2020-05-26,173780,175010,175020,173080
2020-05-27,175710,174610,175720,174280
2020-05-28,170610,170610,170610,170610
2020-05-29,176190,175490,177320,175480
2020-05-30,176010,176520,176620,175580
2020-05-31,177020,176020,177220,175980
2020-06-01,177120,176610,177120,176380
2020-06-02,177880,177080,178220,177080
2020-06-03,177810,177780,178020,177780
2020-06-05,176810,176680,177010,176070
2020-06-06,176810,177210,177510,176570
2020-06-07,176110,176710,176710,175670
2020-06-08,177910,176080,178310,176070
2020-06-09,179880,177880,180210,177870
2020-06-10,179800,180100,189910,179670
2020-06-11,177500,177500,177500,177500
2020-06-12,179470,179480,179810,179270
2020-06-13,179480,179510,179510,179470
2020-06-14,182910,179510,183210,179470
2020-06-15,185710,183580,185910,182870
2020-06-16,185670,185680,185710,185670
2020-06-17,188180,186780,188210,186670
2020-06-18,183500,183500,183500,183500
2020-06-19,192410,188200,192610,188170
2020-06-20,194800,192700,198010,192470
2020-06-21,197800,195570,200010,195270
2020-06-22,201000,202570,205410,196970
2020-06-23,194580,201380,203510,193570
2020-06-24,191480,192180,192810,189570
2020-06-25,188430,188430,188430,188430
2020-06-26,200270,194670,200310,193570
2020-06-27,202170,205200,206510,199470
2020-06-28,202200,203470,203510,200170
2020-06-29,205300,203480,206010,202870
2020-06-30,205770,202570,205910,200570
2020-07-01,207800,205780,208010,205770
2020-07-03,212010,207000,212010,206470
2020-07-04,223010,211970,223510,211970
2020-07-05,217810,221480,221710,213970
2020-07-06,220980,218000,221310,216770
2020-07-07,224700,224810,225710,223370
2020-07-08,224700,224680,224710,224670
2020-07-10,226170,223970,227010,223270
2020-07-11,227010,227380,228510,226370
2020-07-12,234280,230010,234410,229670
2020-07-13,236300,233910,238010,229970
2020-07-14,238970,236310,239610,236270
2020-07-15,241370,238780,241810,238770
2020-07-16,231020,231020,231020,231020
2020-07-17,254480,246980,254510,246670
2020-07-18,245480,259570,260010,243770
2020-07-19,229000,247810,247810,223970
2020-07-20,219010,213200,219010,209970
2020-07-21,218000,219000,223510,216970
2020-07-22,218380,220580,221010,216970
2020-07-23,202910,202910,202910,202910
2020-07-24,229300,219000,229910,218870
2020-07-25,230970,237470,242010,225970
2020-07-26,233500,232980,235010,229970
2020-07-27,234500,233480,236210,231970
2020-07-28,234310,234470,235910,232770
2020-07-29,235470,234270,235510,234270
2020-07-30,208020,208020,208020,208020
2020-07-31,233770,234670,236010,233270
2020-08-01,232200,229980,232710,225270
2020-08-02,232710,232210,233610,231870
2020-08-03,232810,232100,233410,232070
2020-08-04,234910,232780,235410,232770
2020-08-05,236600,234900,237210,234870
2020-08-06,230020,230020,230020,230020
2020-08-08,214910,227470,229510,213470
2020-08-09,220510,209470,222010,209470
2020-08-10,222170,224510,227710,218470
2020-08-11,222470,220980,223510,210470
2020-08-12,224470,222480,226210,222470
2020-08-13,220500,220500,220500,220500
2020-08-14,220270,224500,224810,219470
2020-08-15,224510,221780,224710,219970
2020-08-16,231970,227010,233510,226970
2020-08-17,227370,231180,231810,226470
2020-08-18,227000,229700,230210,226370
2020-08-19,230980,230570,232010,229970
2020-08-20,225020,225020,225020,225020
2020-08-21,231000,231000,231010,227270
2020-08-22,229370,230570,231310,229270
2020-08-23,231180,229500,231510,220170
2020-08-24,234610,231300,234710,230670
2020-08-25,235300,235000,237010,232070
2020-08-26,234200,234680,234910,233670
2020-08-27,231020,231020,231020,231020
2020-08-29,234210,234180,234210,234170
2020-08-30,238270,234170,238910,234170
2020-08-31,243600,242180,244010,229470
2020-09-01,244270,245370,246210,243870
2020-09-02,243100,242970,243210,241570
2020-09-03,224520,224520,224520,224520
2020-09-04,246170,244700,247110,243970
2020-09-05,246680,248410,248910,246170
2020-09-06,246680,246710,246710,245300
2020-09-07,251210,246670,256020,246670
2020-09-08,254690,251220,254720,251180
2020-09-09,253710,254720,254720,246680
2020-09-10,228000,228000,228000,228000
2020-09-11,263010,266480,266820,250490
2020-09-12,268420,264410,268820,257000
2020-09-13,264520,267990,272020,260480
2020-09-14,268920,262510,270020,261480
2020-09-15,269020,272160,273550,267440
2020-09-16,268850,269250,269650,267440
2020-09-17,267970,267970,267970,267970
2020-09-18,267540,266390,267740,263000
2020-09-19,272480,268960,273940,268930
2020-09-20,271860,273960,274640,271530
2020-09-21,274970,271770,275940,271440
2020-09-22,280930,277660,281340,277230
2020-09-23,287440,282450,288440,282430
2020-09-24,277970,277970,277970,277970
2020-09-25,288050,291540,293140,285930
2020-09-26,291240,289410,291540,288930
2020-09-27,295300,291260,295540,291230
2020-09-28,294240,293600,295040,289430
2020-09-29,297730,294060,298040,293530
2020-09-30,299730,298610,300040,297730
2020-10-01,289040,289040,289040,289040
2020-10-02,292520,297370,298040,291930
2020-10-03,285030,290020,290040,277930
2020-10-04,294210,292550,294840,291930
2020-10-05,295960,294140,297640,294130
2020-10-06,296740,295950,298640,294230
2020-10-07,292020,292040,292060,291960
2020-10-09,309210,302340,309540,302230
2020-10-10,308810,310710,317740,306930
2020-10-11,314460,308300,315040,307730
2020-10-12,318020,314440,318540,314430
2020-10-13,317330,317740,318040,315230
2020-10-14,321330,317980,321840,317930
2020-10-17,315620,322580,322640,313130
2020-10-18,303540,319220,319240,302930
2020-10-19,266980,294040,294540,266930
2020-10-20,294020,280960,294540,271930
2020-10-21,296440,297940,298540,292930
2020-10-22,293750,293750,293750,293750
2020-10-23,290470,292020,294040,288930
2020-10-24,290000,290000,290000,290000
2020-10-25,281000,281960,284040,279430
2020-10-26,286980,285460,288740,285430
2020-10-27,285440,285540,285550,277940
2020-10-28,280960,280990,285550,280940
2020-10-29,277500,277500,277500,277500
2020-10-30,269550,281030,285550,269440
2020-10-31,276960,269480,285550,265000
2020-11-01,289940,277020,290050,276940
2020-11-02,282420,282420,282420,282420
2020-11-03,290950,285980,305050,285940
2020-11-04,269990,290940,291050,265940
2020-11-06,252960,249990,258550,244940
2020-11-07,251960,248040,255050,239940
2020-11-08,267260,252050,277550,251940
2020-11-09,275990,280510,280550,272950
2020-11-10,272970,274510,276550,269940
2020-11-11,273010,270050,274000,269940
2020-11-12,268520,268520,268520,268520
2020-11-13,269960,269960,285550,247940
2020-11-14,285550,269980,285550,252940
2020-11-15,260050,285510,285550,259940
2020-11-16,262770,260010,287550,258940
2020-11-17,260480,262460,262550,258940
2020-11-18,259510,258550,260050,258440
2020-11-19,256200,256200,256200,256200
2020-11-20,259040,259530,266550,253440
2020-11-21,258050,258840,259050,254140
2020-11-22,259020,258250,259550,256240
2020-11-23,253030,256820,256850,249940
2020-11-24,249470,252950,253050,249440
2020-11-25,246960,247780,247850,245940
2020-11-26,247570,247570,247570,247570
2020-11-27,246980,246540,252050,246240
2020-11-28,251490,247980,252050,245740
2020-11-29,254540,251270,255050,251240
2020-11-30,262480,255520,265050,255440
2020-12-01,258460,262230,262250,254440
2020-12-02,260960,257640,261540,257640
2020-12-04,257230,260530,263050,256440
2020-12-05,258640,257180,259050,256440
2020-12-06,258210,258530,259050,257340
2020-12-07,259260,258440,259550,257940
2020-12-08,262680,259250,264430,259240
2020-12-09,261150,262520,262550,260940
2020-12-10,260650,260650,260650,260650
2020-12-11,259240,260480,263050,258740
2020-12-12,258760,259310,259750,257940
2020-12-13,258540,259270,259350,257440
2020-12-14,259960,256460,262050,256440
2020-12-15,257760,259750,261850,257740
2020-12-16,260210,257790,260250,257740
2020-12-17,258020,258020,258020,258020
2020-12-18,256710,259470,259550,255240
2020-12-19,255440,254050,255700,253940
2020-12-20,256040,255450,257750,254440
2020-12-21,256820,256330,256950,255740
2020-12-22,259280,256790,260050,256740
2020-12-23,259120,259510,259750,259040
2020-12-24,258620,258620,258620,258620
2020-12-25,256190,258770,258850,256140
2020-12-26,257740,256180,258550,256140
2020-12-27,257440,257710,258750,256840
2020-12-28,257150,257550,257850,256740
2020-12-29,257350,257110,257750,257040
2020-12-30,257240,257320,257350,256940
2021-01-01,255530,257080,257150,255140
2021-01-02,257140,255840,257550,255440
2021-01-03,258980,257790,259050,257240
2021-01-04,260980,259030,261050,258440
2021-01-05,258530,260620,260650,257540
2021-01-06,254850,256550,256550,254240
2021-01-07,255510,255510,255510,255510
2021-01-08,246970,254770,254850,246940
2021-01-09,248770,247070,250550,246240
2021-01-10,248740,249460,251550,248140
2021-01-11,249180,248780,250050,248440
2021-01-12,244430,248650,248750,244140
2021-01-13,238540,243450,243450,237840
2021-01-14,239530,239530,239530,239530
2021-01-15,228650,239030,239050,228140
2021-01-16,229470,229510,229550,229440
2021-01-17,212830,225170,225250,210940
2021-01-18,219830,213040,223850,210740
2021-01-19,226450,219760,233550,219740
2021-01-20,227870,235510,238050,220440
2021-01-21,226550,226550,226550,226550
2021-01-22,231440,228770,233050,223240
2021-01-23,234620,232850,238350,231140
2021-01-24,233540,235150,236550,233040
2021-01-25,234310,231830,234350,228440
2021-01-26,238030,236540,242750,236440
2021-01-27,239650,237550,240050,236240
2021-01-28,232110,232110,232110,232110
2021-01-29,243740,241520,247850,240740
2021-01-30,244440,245610,247050,243740
2021-01-31,240850,245040,245050,240440
2021-02-01,243480,241980,244550,241940
2021-02-02,239490,244830,244850,238740
2021-02-03,239070,240250,240250,238340
2021-02-04,237470,237470,237470,237470
2021-02-05,242610,239470,243550,239440
2021-02-06,243850,243030,243850,242040
2021-02-07,249780,247410,249850,246540
2021-02-08,251480,249970,252050,249140
2021-02-09,241030,241030,241030,241030
2021-02-10,257440,253860,258550,253440
2021-02-11,246960,246960,246960,246960
2021-02-12,261840,257940,263050,250440
2021-02-13,257450,261740,262550,257440
2021-02-14,254980,257730,258050,253440
2021-02-15,261450,254950,262050,254940
2021-02-16,258030,259830,261050,257940
2021-02-17,259450,257940,260550,257940
2021-02-18,251710,251710,251710,251710
2021-02-19,252510,258330,258350,251140
2021-02-20,247040,251520,251750,247040
2021-02-21,245040,247520,249050,244840
2021-02-22,251390,247550,252050,247140
2021-02-23,254010,251540,254550,251140
2021-02-24,248210,248210,248210,248210
2021-02-26,255340,252950,259750,252940
2021-02-27,253450,254740,254850,251640
2021-02-28,254250,254490,255150,253340
2021-03-01,252670,253510,253550,251340
2021-03-02,253090,252610,253750,252440
2021-03-03,249760,252440,252550,249640
2021-03-04,246610,246610,246610,246610
2021-03-05,246640,249440,250850,246440
2021-03-06,247760,247420,248350,245840
2021-03-07,247060,248840,249850,246740
2021-03-08,246480,247440,247550,245140
2021-03-09,245830,247450,247850,245640
2021-03-10,242420,242420,242420,242420
2021-03-12,247770,247120,249550,247040
2021-03-13,246540,247520,247550,246440
2021-03-14,247240,246740,247350,245140
2021-03-15,248510,246740,249550,246740
2021-03-16,248990,248040,249550,247940
2021-03-17,251340,249960,251550,249940
2021-03-18,239630,239630,239630,239630
2021-03-19,251390,251440,251450,251340
2021-03-21,251380,251440,251450,251340
2021-03-22,251360,251350,251450,251340
2021-03-23,251430,251340,251450,251340
2021-03-24,251450,251380,251450,251340
2021-03-26,252850,251420,252850,251340
2021-03-27,256240,253280,256850,253240
2021-03-28,252330,252330,252330,252330
2021-03-29,258480,257050,259550,256940
2021-03-30,257960,257910,258050,256140
2021-03-31,257520,257490,257550,257440
2021-04-01,252100,252100,252100,252100
2021-04-02,247280,257510,257550,245240
2021-04-03,249460,246150,250050,246140
2021-04-04,249240,249010,251050,247540
2021-04-05,252450,248660,253550,248640
2021-04-06,250610,252480,252550,250540
2021-04-07,247990,250020,250050,247440
2021-04-08,244660,244660,244660,244660
2021-04-09,247870,249550,250550,247440
2021-04-10,247490,247830,248850,247440
2021-04-11,249950,248550,250850,248440
2021-04-12,250320,249250,250350,248140
2021-04-13,248970,249730,249850,248440
2021-04-14,250150,248780,250850,248740
2021-04-15,239870,239870,239870,239870
2021-04-16,246750,249310,249550,246640
2021-04-17,246180,246210,246550,244740
2021-04-18,240540,245990,246350,239740
2021-04-19,241810,238220,242040,236540
2021-04-20,241840,241970,242150,240840
2021-04-21,238640,239280,239350,237640
2021-04-22,233300,233300,233300,233300
2021-04-23,238450,237170,239350,237140
2021-04-24,237320,239120,239950,236940
2021-04-25,236920,237030,238050,236040
2021-04-26,236670,238250,238850,236440
2021-04-27,237210,237550,237650,236540
2021-04-28,235220,237170,237230,234940
2021-04-29,232310,232310,232310,232310
2021-04-30,232390,233170,234850,230640
2021-05-01,221710,227490,228550,218140
2021-05-02,220360,221830,223050,218540
2021-05-03,220210,220210,220250,220140
2021-05-04,207520,220160,220250,206840
2021-05-05,216990,210470,220050,210140
2021-05-06,206480,206480,206480,206480
2021-05-07,214310,215860,217850,213240
2021-05-08,216460,213460,217050,213440
2021-05-09,221520,217180,221550,217140
2021-05-11,221850,216080,223410,216080
2021-05-11,224340,221920,226050,221840
2021-05-12,225850,224160,226850,223640
2021-05-12,219750,221860,221950,219750
2021-05-13,225440,225530,225530,225440
2021-05-13,216130,219790,219860,216130
2021-05-13,216130,216130,216130,216130
2021-05-15,220500,220760,221880,220410
2021-05-15,228940,226490,229150,226260
2021-05-15,231730,229460,233550,229440
2021-05-16,228860,231490,231850,228340
2021-05-17,231150,228940,232550,228440
2021-05-18,228240,228690,229550,225940
2021-05-19,230020,232140,232150,219980
2021-05-20,223000,223000,223000,223000
2021-05-21,229170,229640,230150,228640
2021-05-22,230650,229040,231050,228940
2021-05-23,232790,230990,240050,230940
2021-05-24,231240,231690,239550,230140
2021-05-25,232150,231980,234050,231940
2021-05-26,232390,232170,232750,231940
2021-05-27,226470,226470,226470,226470
2021-05-29,234660,226560,234660,226460
2021-05-29,234660,226560,234660,226460
2021-05-29,234660,226560,234660,226460
2021-05-29,239830,232470,241350,232440
2021-05-29,239830,232470,241350,232440
2021-05-29,239830,232470,241350,232440
2021-05-30,238570,234640,238660,234550
2021-05-30,241330,245760,248350,240440
2021-05-31,234060,238590,238660,232950
2021-05-31,242940,241490,243050,237240
2021-06-01,234160,234000,238660,233970
2021-06-01,241270,241450,242050,229940
2021-06-01,239060,238170,240550,230240
2021-06-02,237430,238960,239050,236640
2021-06-03,234330,234330,234330,234330
2021-06-06,239380,237190,241550,237140
2021-06-07,239410,239350,240250,239140
2021-06-08,241410,241220,242250,240440
2021-06-09,239170,240020,240450,239140
2021-06-10,239230,239230,239230,239230
2021-06-11,237640,236820,238350,236140
2021-06-12,240990,239050,241250,238940
2021-06-13,239740,241010,241050,238550
2021-06-14,240450,240030,241250,239950
2021-06-15,241810,240520,242250,239450
2021-06-16,244320,242040,244640,241950
2021-06-17,244290,244290,244290,244290
2021-06-18,234890,244490,244640,234690
2021-06-19,239490,234690,240440,234690
2021-06-20,241070,239790,241440,239190
2021-06-21,242590,241260,243140,241190
2021-06-22,241790,243230,243340,240790
2021-06-23,241890,241690,242430,241190
2021-06-24,241890,241890,241890,241890
2021-06-25,244390,244500,245940,242290
2021-06-26,246740,243490,246940,243490
2021-06-27,247080,246290,248640,246290
2021-06-28,249660,248890,252040,248890
2021-06-29,253990,250020,254140,249990
2021-06-30,251530,253370,253440,250690
2021-07-01,251510,251510,251510,251510
2021-07-02,252390,251640,253840,251390
2021-07-03,251500,254600,254640,251090
2021-07-04,249590,251310,251340,249490
2021-07-05,250990,250990,251640,250590
2021-07-06,250870,250620,251340,250010
2021-07-07,250210,251050,251140,249490
2021-07-09,249620,250310,250340,248190
2021-07-10,249990,249190,250140,248790
2021-07-11,249800,250120,250140,249290
2021-07-12,247490,249590,249740,247090
2021-07-13,246110,247590,247640,244990
2021-07-14,246990,246190,247940,246190
2021-07-15,246990,246990,246990,246990
2021-07-16,247290,247490,248340,247190
2021-07-17,245440,246890,247640,245190
2021-07-18,244670,245490,245640,244090
2021-07-19,245300,244940,245440,244790
2021-07-20,245190,245190,245190,245190
2021-07-21,246330,246250,246340,246190
2021-07-22,246280,246280,246280,246280
2021-07-23,247120,246280,247340,246190
2021-07-24,247790,247630,249640,247490
2021-07-25,250560,247990,251040,247890
2021-07-26,251720,250810,252330,250690
2021-07-27,256140,251690,256240,251690
2021-07-28,255990,255990,255990,255990
2021-07-30,257380,260290,260640,256990
2021-07-31,254890,257190,257640,254290
2021-08-01,255190,255820,256640,254590
2021-08-02,257330,255840,258140,255690
2021-08-03,256240,257190,257340,254690
2021-08-04,256240,256490,256740,255790
2021-08-06,256330,254190,257130,253990
2021-08-07,256790,256290,257440,252390
2021-08-08,259170,256190,259940,256190
2021-08-09,263190,258990,263940,258990
2021-08-10,266160,264770,267630,263790
2021-08-11,264320,265890,266840,262890
2021-08-12,264290,264290,264290,264290
2021-08-13,263320,263090,267240,262590
2021-08-14,269070,263560,269480,263490
2021-08-15,269130,268990,269140,268990
2021-08-16,269090,269050,269140,268990
2021-08-17,268990,268990,268990,268990
2021-08-20,272500,269140,272500,268990
2021-08-21,274580,274500,275440,273490
2021-08-22,276660,274390,276940,273690
2021-08-23,276490,277220,278940,275690
2021-08-24,278490,277390,280940,276790
2021-08-25,278990,279490,280240,277890
2021-08-26,278990,278990,278990,278990
2021-08-27,281990,282390,283740,281190
2021-08-28,275990,281890,282040,275490
2021-08-29,270690,273920,274010,269350
2021-08-30,274280,273790,274310,272250
2021-08-31,270350,273310,273410,270050
2021-09-01,272790,271010,272910,270850
2021-09-02,272910,272910,272910,272910
2021-09-03,270310,272870,274110,270050
2021-09-04,270670,271110,272810,270550
2021-09-05,271120,270980,271510,269660
2021-09-06,273810,271720,274010,270750
2021-09-07,276810,275180,277310,275050
2021-09-08,278410,276910,279010,276350
2021-09-09,278270,278270,278270,278270
2021-09-10,277210,278810,278810,276550
2021-09-11,272390,277110,277210,272250
2021-09-12,273130,270510,273210,269050
2021-09-13,276410,274410,277310,273350
2021-09-14,273170,272210,274210,272050
2021-09-15,274510,273570,274510,272150
2021-09-16,274460,274460,274460,274460
2021-09-17,273710,276010,276410,273050
2021-09-18,274710,272900,275010,272850
2021-09-19,274430,274130,274510,273350
2021-09-20,274070,274590,276310,273650
2021-09-21,274030,274450,276310,273650
2021-09-21,274070,274590,276310,273650
2021-09-22,275210,274610,276110,274450
2021-09-22,275210,274610,276110,274450
2021-09-23,276810,275190,276810,275050
2021-09-23,276810,276810,276810,276810
2021-09-25,275590,276560,276810,274850
2021-09-25,276760,275510,276910,275350
2021-09-26,276810,276810,276810,276810
2021-09-28,280560,277560,280710,277550
2021-09-29,282430,281470,283210,281270
2021-09-30,284710,283160,284710,282550
2021-09-30,284630,283150,284710,282550
2021-09-30,284710,284710,284710,284710
2021-10-01,281850,283010,283510,281150
2021-10-02,280460,281520,281610,279480
2021-10-03,281360,279950,281680,279650
2021-10-03,281380,280040,281680,279650
2021-10-04,281360,281360,281360,281360
2021-10-05,279380,281210,281680,279100
2021-10-06,279320,279320,279320,279320
2021-10-09,275690,279250,279380,275500
2021-10-09,275840,275760,276280,274700
2021-10-11,273360,275880,276080,272610
2021-10-11,270610,273380,273680,269900
2021-10-12,271670,270620,272780,270100
2021-10-13,270700,272410,272480,270400
2021-10-14,270870,270870,270870,270870
2021-10-15,272820,272810,273280,271900
2021-10-16,271810,272850,272980,271100
2021-10-17,272530,271450,273180,271100
2021-10-18,274750,273570,275380,273400
2021-10-19,273060,274150,274180,272620
2021-10-20,274210,273660,274680,273500
2021-10-21,274150,274150,274150,274150
2021-10-22,275980,274250,276080,274100
2021-10-23,276030,276030,276030,276030
2021-10-24,275630,276580,276780,275400
2021-10-25,275610,275030,275780,273900
2021-10-26,276870,275600,278080,275400
2021-10-27,276670,277020,277080,276400
2021-10-28,276570,276570,276570,276570
2021-10-29,276030,276620,276680,274100
2021-10-30,275760,275320,276080,274300
2021-10-31,275040,276030,276380,274700
2021-11-01,276030,275100,276080,275100
2021-11-02,278980,275910,279280,275800
2021-11-03,276570,277140,277280,276300
2021-11-04,276510,276510,276510,276510
2021-11-05,278230,277450,279580,277300
2021-11-06,279880,278080,280080,277200
2021-11-07,280250,279960,281380,279700
2021-11-08,281060,280380,281780,280200
2021-11-09,283760,281710,283880,281400
2021-11-10,284240,283150,284480,283100
2021-11-11,284240,284240,284240,284240
2021-11-12,286520,284190,287480,284100
2021-11-13,285240,286510,287480,284900
2021-11-14,280400,283370,283550,269700
2021-11-15,281480,279920,281800,279430
2021-11-16,283540,283860,284000,282750
2021-11-17,281400,282990,283000,281350
2021-11-18,278980,278980,278980,278980
2021-11-19,280870,280290,281080,280030
2021-11-20,282890,280370,283400,280130
2021-11-21,284400,282590,284400,281850
2021-11-22,286440,285510,286600,285250
2021-11-23,291660,287400,293070,287150
2021-11-24,289770,290710,290820,289450
2021-11-25,288080,288080,288080,288080
2021-11-26,290760,292460,292800,290050
2021-11-27,294720,290650,294800,290550
2021-11-28,294350,294250,294900,292950
2021-11-29,290540,291200,294400,287790
2021-11-30,291900,289370,292500,289050
2021-12-01,293390,292350,294000,292050
2021-12-02,273240,273240,273240,273240
2021-12-03,301670,297060,302800,297050
2021-12-04,303380,303870,305100,302250
2021-12-05,309710,304920,310090,304550
2021-12-06,306930,308670,310600,306350
2021-12-07,307010,307480,308600,306550
2021-12-08,307060,307760,307760,306550
2021-12-09,277040,277040,277040,277040
2021-12-10,303060,307360,307800,301660
2021-12-11,301600,304030,304100,300050
2021-12-12,297720,300450,300900,295350
2021-12-13,302220,294660,302370,294460
2021-12-14,301340,305730,305890,301050
2021-12-15,299500,301810,302400,298850
2021-12-16,274170,274170,274170,274170
2021-12-17,298680,302070,302300,298660
2021-12-18,299100,297380,299600,297260
2021-12-19,300710,299480,301800,298650
2021-12-20,301780,301100,302500,300650
2021-12-21,300770,302880,303500,300350
2021-12-22,300730,301890,302100,299850
2021-12-24,298160,299920,300300,297650
2021-12-25,299370,298260,299800,297650
2021-12-26,298570,298930,299300,298150
2021-12-27,295210,296810,296900,294650
2021-12-28,296590,296800,297800,296060
2021-12-29,298180,297740,299100,297250
2021-12-30,273880,273880,273880,273880
2021-12-31,296030,297510,297700,295850
2022-01-01,295480,296110,296190,293350
2022-01-02,292650,294190,294300,292050
2022-01-03,290320,293180,293600,289570
2022-01-04,286430,289640,289800,284850
2022-01-07,281070,287550,287800,280920
2022-01-08,273750,279940,281800,273560
2022-01-09,278820,273650,279100,272390
2022-01-10,280380,283020,284300,279350
2022-01-11,277090,280350,280400,276350
2022-01-12,279600,278450,280280,277350
2022-01-13,266620,266620,266620,266620
2022-01-14,274570,279760,280000,273850
2022-01-15,275080,276450,276600,273710
2022-01-16,273030,271690,273290,271550
2022-01-17,273430,271870,274600,271250
2022-01-18,274740,274270,276100,274050
2022-01-19,275140,274650,275600,274550
2022-01-20,275250,275250,275250,275250
2022-01-21,275080,275950,276400,274550
2022-01-22,277690,274750,277800,274350
2022-01-23,279650,279300,281400,278850
2022-01-24,277790,278170,278800,277350
2022-01-25,278580,279020,281300,278360
2022-01-26,277900,277240,278100,276850
2022-01-27,277710,277710,277710,277710
2022-01-28,279260,282080,282800,279050
2022-01-29,278820,277880,279400,277750
2022-01-30,276910,278810,278990,276350
2022-01-31,274600,277540,277600,273750
2022-02-01,272540,273770,274200,272250
2022-02-02,272810,273050,274000,271950
2022-02-03,272650,272650,272650,272650
2022-02-04,263480,268730,268900,263050
2022-02-05,267600,261170,267800,261050
2022-02-06,264600,266690,266900,263750
2022-02-07,260520,262070,262400,259250
2022-02-08,262240,263690,263700,260650
2022-02-09,262320,262390,262400,262150
2022-02-10,262270,262270,262270,262270
2022-02-11,264690,262190,266400,262150
2022-02-12,268670,264490,268800,264260
2022-02-13,269650,270840,270860,268360
2022-02-15,265090,267040,268300,264850
2022-02-16,263120,264980,265300,262850
2022-02-18,260060,260750,261300,259850
2022-02-19,254170,258800,258800,254050
2022-02-20,257920,255380,258400,254850
2022-02-21,260570,258540,261900,258360
2022-02-22,259490,262080,262600,259350
2022-02-23,261550,261690,262100,259850
2022-02-24,261440,261440,261440,261440
2022-02-25,260360,260830,260900,259150
2022-02-26,259850,260140,260400,259350
2022-02-27,259790,259860,260300,259550
2022-02-28,259650,259650,259650,259650
2022-03-01,255590,258710,259000,255550
2022-03-02,256070,255530,257800,255350
2022-03-03,256150,256150,256150,256150
2022-03-04,254240,256600,256700,253750
2022-03-05,254400,252610,254400,251250
2022-03-06,258110,254750,258900,254270
2022-03-07,260380,258860,262600,258650
2022-03-08,257590,258750,259000,254850
2022-03-09,256810,257770,258300,256570
2022-03-10,256960,256960,256960,256960
2022-03-11,258830,257080,264390,256850
2022-03-12,264360,260740,265900,260650
2022-03-13,262760,262550,263100,261550
2022-03-14,263680,263440,265900,263150
2022-03-15,263770,262560,264400,262350
2022-03-16,262240,262060,262300,262050
2022-03-17,262300,262300,262300,262300
2022-03-25,262870,262070,266100,261650
2022-03-26,262740,262210,262750,262100
2022-03-27,266450,262750,267490,262500
2022-03-28,270430,267400,270700,267050
2022-03-29,270500,271800,272000,269450
2022-03-30,271260,270460,271500,269950
2022-03-31,271140,271140,271140,271140
2022-04-02,269190,270140,270200,268000
2022-04-03,271950,269140,272300,269000
2022-04-04,277170,272220,277400,272200
2022-04-05,273940,276920,277100,273120
2022-04-06,276030,273920,277300,273800
2022-04-07,274830,274830,274830,274830
2022-04-08,277810,276230,278300,276200
2022-04-09,279950,277390,280100,276700
2022-04-10,280580,279620,281800,279600
2022-04-11,281130,280810,282700,280700
2022-04-12,278170,281160,281200,277800
2022-04-13,277910,277920,278000,277800
2022-04-14,277910,277910,277910,277320
2022-04-15,279280,275450,279600,275200
2022-04-16,279170,278920,281400,278900
2022-04-17,276690,278420,279900,276000
2022-04-18,275810,276510,278100,275500
2022-04-19,277460,275700,278200,275500
2022-04-20,278620,277490,279200,277400
2022-04-21,278640,278640,278640,278640
2022-04-23,277920,278460,279300,277910
2022-04-24,278420,277740,278800,277000
2022-04-25,279220,278350,280600,278300
2022-04-26,280920,279210,281900,279200
2022-04-27,281530,280720,281800,279600
2022-04-28,279800,279800,279800,279800
2022-04-29,280760,280810,282300,280600
2022-04-30,281580,280950,281900,280900
2022-05-01,282540,281650,282600,281100
2022-05-02,280210,280210,280210,280210
2022-05-04,283840,282550,284100,282400
2022-05-05,280560,280560,280560,280560
2022-05-06,284350,285530,287100,284350
2022-05-07,283650,284050,284700,283200
2022-05-08,285460,285540,285700,284900
2022-05-09,291070,285480,291800,285480
2022-05-11,255800,255800,255800,255800
2022-05-11,297640,291060,300100,291060
2022-05-11,308770,298570,308900,298400
2022-05-12,255900,255900,255900,255900
2022-05-13,301040,304630,309020,300200
2022-05-14,305670,302300,306000,299000
2022-05-15,305340,306340,306600,304000
2022-05-16,302320,305680,305800,302300
2022-05-17,301120,301990,302000,299800
2022-05-18,299020,299000,300290,293500
2022-05-21,303230,302800,305500,302300
2022-05-22,302440,303050,303500,300000
2022-05-23,301870,303430,304200,301700
2022-05-24,301240,301810,301900,299900
2022-05-25,303040,302920,303600,302500
2022-05-27,304050,307050,307100,303600
2022-05-28,305660,303020,306800,302700
2022-05-29,308360,305910,308900,305800
2022-05-30,310030,308150,311100,308100
2022-05-31,315180,310400,315300,309400
2022-06-01,312860,315480,315600,312800
2022-06-05,312960,313310,313400,310400
2022-06-06,317910,313370,318390,312100
2022-06-07,317030,317870,319500,316600
2022-06-08,320160,317740,321100,317200
2022-06-10,321540,320910,323300,320900
2022-06-11,329400,322510,331000,321400
2022-06-12,326640,327820,328500,325600
2022-06-13,321360,324280,325500,321300
2022-06-14,315680,319980,320800,315400
2022-06-15,316950,317310,317800,314700
2022-06-17,319940,320530,321600,318400
2022-06-18,316800,319880,320400,316600
2022-06-19,317100,318260,318400,316600
2022-06-20,316850,318040,318600,316500
